title_deletion_date,collection_creation_date,title_added_date,is_title_deleted,is_collection_discoverable,last_modified_date,product_name,collection_name,collection_description,total_items_in_collection,is_public_collection,is_collection_archived,profile_name,content_delivery_type,ASIN,collection_type,marketplace,collection_id
"2024-05-14T21:49:20Z","Not Available","2024-05-14T21:39:26Z","Yes","Not Available","2024-05-14T21:49:20Z","King of Wrath","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0BZQJT6YM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-14T21:39:26Z","No","Not Available","2024-05-14T21:39:26Z","King of Wrath","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0BZQJT6YM","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-05-05T19:30:13Z","No","Not Available","2024-05-05T19:30:13Z","The Idea of You","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07C8M8V7M","Not Available","Not Available","AYCL"
"2024-05-03T03:40:34Z","Not Available","2024-05-03T03:30:33Z","Yes","Not Available","2024-05-03T03:40:34Z","Hudson","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00N0XCXCM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-03T02:02:02Z","No","Not Available","2024-05-03T02:02:02Z","Hudson","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00N0XCXCM","Not Available","Not Available","PURCHASE"
"2024-05-02T11:47:29Z","Not Available","2024-05-02T11:37:27Z","Yes","Not Available","2024-05-02T11:47:29Z","Forever with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG5WZ76","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-02T11:37:27Z","No","Not Available","2024-05-02T11:37:27Z","Forever with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG5WZ76","Not Available","Not Available","PURCHASE"
"2024-05-01T03:55:40Z","Not Available","2024-05-01T03:45:39Z","Yes","Not Available","2024-05-01T03:55:40Z","Found in You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG4DA9Y","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-01T03:45:38Z","No","Not Available","2024-05-01T03:45:38Z","Found in You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG4DA9Y","Not Available","Not Available","PURCHASE"
"2024-04-30T11:50:21Z","Not Available","2024-04-30T11:40:37Z","Yes","Not Available","2024-04-30T11:50:21Z","Fixed on You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00J2ZLLKM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-30T11:40:31Z","No","Not Available","2024-04-30T11:40:31Z","Fixed on You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00J2ZLLKM","Not Available","Not Available","PURCHASE"
"2024-04-26T20:35:20Z","Not Available","2024-04-26T20:11:05Z","Yes","Not Available","2024-04-26T20:35:20Z","The Bookworm Crush","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1541440420","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:14:25Z","No","Not Available","2024-04-26T20:14:25Z","Perfectly Imperfect","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B01B8L2C5U","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:12:34Z","No","Not Available","2024-04-26T20:12:34Z","33 Unplayed Voicemails","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0B9P1675T","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:12:03Z","No","Not Available","2024-04-26T20:12:03Z","A Royally Inconvenient Marriage","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1630158151","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:11:41Z","No","Not Available","2024-04-26T20:11:41Z","Heidi's Guide to Four Letter Words","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07SXD435V","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:11:31Z","No","Not Available","2024-04-26T20:11:31Z","A Murder to Remember","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CT5ZJ3YQ","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:06:00Z","No","Not Available","2024-04-26T20:06:00Z","Kismet","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09QD41MT2","Not Available","Not Available","AYCL"
"2024-04-23T22:01:39Z","Not Available","2024-04-23T21:51:38Z","Yes","Not Available","2024-04-23T22:01:39Z","Never Have I Ever","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07RXMCMND","Not Available","Not Available","PENDING"
"2024-04-23T22:00:17Z","Not Available","2024-04-23T21:50:16Z","Yes","Not Available","2024-04-23T22:00:17Z","After the Fairy Tale","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08MQT6LZB","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-23T21:51:38Z","No","Not Available","2024-04-23T21:51:38Z","Never Have I Ever","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07RXMCMND","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-23T21:50:16Z","No","Not Available","2024-04-23T21:50:16Z","After the Fairy Tale","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08MQT6LZB","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-19T11:39:02Z","No","Not Available","2024-04-19T11:39:02Z","American King","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B07B8W2TPN","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-19T11:39:01Z","No","Not Available","2024-04-19T11:39:01Z","American Prince","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B071GW6MB7","Not Available","Not Available","AYCL"
"2024-04-18T17:49:34Z","Not Available","2024-04-18T17:39:34Z","Yes","Not Available","2024-04-18T17:49:34Z","My Dark Romeo","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0BY3CD2VH","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-18T17:39:33Z","No","Not Available","2024-04-18T17:39:33Z","My Dark Romeo","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0BY3CD2VH","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-04-18T17:26:11Z","No","Not Available","2024-04-18T17:26:11Z","The Fix Up","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1799911438","Not Available","Not Available","AYCL"
"2024-04-18T17:09:58Z","Not Available","2024-04-18T16:59:57Z","Yes","Not Available","2024-04-18T17:09:58Z","Romancing Mister Bridgerton","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B06Y2GNSLR","Not Available","Not Available","PENDING"
"2024-04-18T17:09:49Z","Not Available","2024-04-18T16:59:48Z","Yes","Not Available","2024-04-18T17:09:49Z","An Offer from a Gentleman","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01N1ME7ST","Not Available","Not Available","PENDING"
"2024-04-18T17:09:40Z","Not Available","2024-04-18T16:59:39Z","Yes","Not Available","2024-04-18T17:09:40Z","The Viscount Who Loved Me","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01MDMHYZG","Not Available","Not Available","PENDING"
"2024-04-18T17:09:12Z","Not Available","2024-04-18T16:59:11Z","Yes","Not Available","2024-04-18T17:09:12Z","The Duke and I","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01LWTY1ID","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-18T16:59:57Z","No","Not Available","2024-04-18T16:59:57Z","Romancing Mister Bridgerton","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B06Y2GNSLR","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-18T16:59:48Z","No","Not Available","2024-04-18T16:59:48Z","An Offer from a Gentleman","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01N1ME7ST","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-18T16:59:39Z","No","Not Available","2024-04-18T16:59:39Z","The Viscount Who Loved Me","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01MDMHYZG","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-18T16:59:11Z","No","Not Available","2024-04-18T16:59:11Z","The Duke and I","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01LWTY1ID","Not Available","Not Available","AYCL"
"2024-04-16T19:03:37Z","Not Available","2024-04-16T18:53:36Z","Yes","Not Available","2024-04-16T19:03:37Z","Getting Schooled","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07956GH9Z","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-16T18:53:36Z","No","Not Available","2024-04-16T18:53:36Z","Getting Schooled","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07956GH9Z","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-15T06:10:33Z","No","Not Available","2024-04-15T06:10:33Z","P.S. It's Always Been You: Part 3","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B083QPLSZC","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-15T06:10:32Z","No","Not Available","2024-04-15T06:10:32Z","P.S. It's Always Been You: Part 2","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B083QP35Z7","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-15T06:10:30Z","No","Not Available","2024-04-15T06:10:30Z","P.S. It's Always Been You: Part 1","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B083QPK6X9","Not Available","Not Available","AYCL"
"2024-04-12T23:29:06Z","Not Available","2024-04-12T23:19:05Z","Yes","Not Available","2024-04-12T23:29:06Z","The Accidental Dating Experiment","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CY5SZ44G","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-12T23:19:05Z","No","Not Available","2024-04-12T23:19:05Z","The Accidental Dating Experiment","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CY5SZ44G","Not Available","Not Available","AYCL"
"2024-04-11T21:50:11Z","Not Available","2024-04-11T21:40:09Z","Yes","Not Available","2024-04-11T21:50:11Z","Still Hung Up on You","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CC36WCZY","Not Available","Not Available","PENDING"
"2024-04-11T21:47:30Z","Not Available","2024-04-11T21:37:29Z","Yes","Not Available","2024-04-11T21:47:30Z","Lucky Suit","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07M79KY6L","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-11T21:40:10Z","No","Not Available","2024-04-11T21:40:10Z","Still Hung Up on You","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CC36WCZY","Not Available","Not Available","AYCL"
"2024-04-11T21:37:50Z","Not Available","2024-04-11T21:27:48Z","Yes","Not Available","2024-04-11T21:37:50Z","Maybe This Time","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CXYXDMRQ","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-11T21:37:30Z","No","Not Available","2024-04-11T21:37:30Z","Lucky Suit","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07M79KY6L","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-11T21:27:48Z","No","Not Available","2024-04-11T21:27:48Z","Maybe This Time","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CXYXDMRQ","Not Available","Not Available","AYCL"
"2024-04-11T19:58:06Z","Not Available","2024-04-11T19:48:13Z","Yes","Not Available","2024-04-11T19:58:06Z","Butcher & Blackbird","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CK8TTLS8","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-11T19:48:13Z","No","Not Available","2024-04-11T19:48:13Z","Butcher & Blackbird","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CK8TTLS8","Not Available","Not Available","PURCHASE"
"2024-04-11T08:07:58Z","Not Available","2024-04-11T07:57:57Z","Yes","Not Available","2024-04-11T08:07:58Z","Think Outside the Boss","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09J98P1GX","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-11T07:57:57Z","No","Not Available","2024-04-11T07:57:57Z","Think Outside the Boss","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09J98P1GX","Not Available","Not Available","AYCL"
"2024-04-10T21:58:39Z","Not Available","2024-04-10T21:48:38Z","Yes","Not Available","2024-04-10T21:58:39Z","The Royal Assignment","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09KVJR2VP","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-10T21:48:38Z","No","Not Available","2024-04-10T21:48:38Z","The Royal Assignment","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09KVJR2VP","Not Available","Not Available","AYCL"
"2024-04-06T04:29:29Z","Not Available","2024-04-06T04:19:28Z","Yes","Not Available","2024-04-06T04:29:29Z","American Queen","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B071YF9J3C","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-06T04:19:28Z","No","Not Available","2024-04-06T04:19:28Z","American Queen","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B071YF9J3C","Not Available","Not Available","AYCL"
"2024-03-29T21:38:32Z","Not Available","2024-03-29T21:28:30Z","Yes","Not Available","2024-03-29T21:38:32Z","Seatmate","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09V3FZKGH","Not Available","Not Available","PENDING"
"2024-03-29T21:38:26Z","Not Available","2024-03-29T21:28:25Z","Yes","Not Available","2024-03-29T21:38:26Z","Sweet Talk","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08YH4N5DY","Not Available","Not Available","PENDING"
"2024-03-29T21:37:05Z","Not Available","2024-03-29T21:27:04Z","Yes","Not Available","2024-03-29T21:37:05Z","Love at First Psych","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0BRQW85G9","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-29T21:28:30Z","No","Not Available","2024-03-29T21:28:30Z","Seatmate","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09V3FZKGH","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-03-29T21:28:25Z","No","Not Available","2024-03-29T21:28:25Z","Sweet Talk","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08YH4N5DY","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-03-29T21:27:04Z","No","Not Available","2024-03-29T21:27:04Z","Love at First Psych","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0BRQW85G9","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-03-27T11:15:05Z","No","Not Available","2024-03-27T11:15:05Z","The Do-Over","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0B723894M","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-26T11:03:45Z","No","Not Available","2024-03-26T11:03:45Z","The Casanova","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1713614766","Not Available","Not Available","PURCHASE"
"2024-03-21T02:48:57Z","Not Available","2024-03-21T02:39:02Z","Yes","Not Available","2024-03-21T02:48:57Z","One with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01D3ERCKA","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-21T02:39:02Z","No","Not Available","2024-03-21T02:39:02Z","One with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01D3ERCKA","Not Available","Not Available","PURCHASE"
"2024-03-20T05:26:34Z","Not Available","2024-03-20T05:16:43Z","Yes","Not Available","2024-03-20T05:26:34Z","Captivated by You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00OL7ONK6","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-20T05:16:42Z","No","Not Available","2024-03-20T05:16:42Z","Captivated by You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00OL7ONK6","Not Available","Not Available","PURCHASE"
"2024-03-19T05:51:01Z","Not Available","2024-03-19T05:41:12Z","Yes","Not Available","2024-03-19T05:51:01Z","Entwined with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00BR1TWMS","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-19T05:41:07Z","No","Not Available","2024-03-19T05:41:07Z","Entwined with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00BR1TWMS","Not Available","Not Available","PURCHASE"
"2024-03-18T22:00:17Z","Not Available","2024-03-18T21:50:27Z","Yes","Not Available","2024-03-18T22:00:17Z","Reflected in You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B009M8YHCI","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-18T21:50:22Z","No","Not Available","2024-03-18T21:50:22Z","Reflected in You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B009M8YHCI","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-17T04:30:29Z","No","Not Available","2024-03-17T04:30:29Z","Surrender to Me","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1630150274","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-03-16T18:45:32Z","No","Not Available","2024-03-16T18:45:32Z","Teach Me","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1630150266","Not Available","Not Available","AYCL"
"2024-03-16T01:34:04Z","Not Available","2024-03-16T01:24:02Z","Yes","Not Available","2024-03-16T01:34:04Z","Tempt Me","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1630150207","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-16T01:24:02Z","No","Not Available","2024-03-16T01:24:02Z","Tempt Me","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1630150207","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-03-11T07:13:28Z","No","Not Available","2024-03-11T07:13:28Z","Royal Valentine","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CRVY153B","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-11T07:13:28Z","No","Not Available","2024-03-11T07:13:28Z","Drop, Cover, and Hold On","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CRVYD6KZ","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-11T07:13:24Z","No","Not Available","2024-03-11T07:13:24Z","With Any Luck","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CRVYQJS2","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-11T07:12:58Z","No","Not Available","2024-03-11T07:12:58Z","Worst Wingman Ever","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CRVYCCZ2","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-11T07:12:52Z","No","Not Available","2024-03-11T07:12:52Z","Rosie and the Dreamboat","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CRVY7QFH","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-11T07:11:07Z","No","Not Available","2024-03-11T07:11:07Z","Same Time Next Year","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CMKD88KV","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-11T07:04:26Z","No","Not Available","2024-03-11T07:04:26Z","The Marriage Auction: Book One","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0BR8HRN66","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-10T23:05:59Z","No","Not Available","2024-03-10T23:05:59Z","The Takeover","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1799759121","Not Available","Not Available","PURCHASE"
"2024-03-07T22:36:49Z","Not Available","2024-03-07T22:26:57Z","Yes","Not Available","2024-03-07T22:36:49Z","Credence","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B08ML5CZMS","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-07T22:26:55Z","No","Not Available","2024-03-07T22:26:55Z","Credence","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B08ML5CZMS","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-03-04T00:25:27Z","No","Not Available","2024-03-04T00:25:27Z","The Stopover","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1799748928","Not Available","Not Available","PURCHASE"
"2024-03-01T13:06:27Z","Not Available","2024-03-01T12:56:26Z","Yes","Not Available","2024-03-01T13:06:27Z","Twisted Hate","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0B6GRLKR1","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-03-01T12:56:24Z","No","Not Available","2024-03-01T12:56:24Z","Twisted Hate","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0B6GRLKR1","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-02-24T02:54:16Z","No","Not Available","2024-02-24T02:54:16Z","The Exception to the Rule","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CRVYF4CJ","Not Available","Not Available","PURCHASE"
"2023-10-09T15:56:44Z","Not Available","2023-10-09T15:46:43Z","Yes","Not Available","2023-10-09T15:56:44Z","Killers of the Flower Moon","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B01NAEEJJV","Not Available","Not Available","PENDING"
"Not Available","Not Available","2023-10-09T15:47:43Z","No","Not Available","2023-10-09T15:47:43Z","Killers of the Flower Moon","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B01NAEEJJV","Not Available","Not Available","PURCHASE"
