created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2024-07-20T16:43:53Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-22T03:53:34Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T00:42:47Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T02:06:36Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,exiting lock screen,Kindle Special Offers not enabled
2024-04-15T20:07:26Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-31T20:44:52Z,www.amazon.com,US,Kindle E-reader,B09Z7BYZS3,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T02:01:26Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-04-02T01:27:24Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T22:37:57Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T17:24:33Z,www.amazon.com,US,Kindle E-reader,B00FO60CH6,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T00:49:03Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T02:01:46Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-07-17T15:41:28Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T11:59:11Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T22:37:57Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T22:28:02Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-13T13:15:46Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-13T13:15:01Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T00:54:39Z,www.amazon.com,US,Kindle E-reader,B0CYWDS6CT,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T07:14:28Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2023-12-01T12:17:10Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T10:54:08Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-04T06:16:05Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-22T03:53:34Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-24T03:13:59Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,transition to screen saver,Kindle Special Offers not enabled
2024-04-20T15:08:17Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T20:15:34Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T13:05:06Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,exiting lock screen,Kindle Special Offers not enabled
2024-04-24T03:14:01Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-17T01:06:50Z,www.amazon.com,US,Kindle E-reader,B075HXST4P,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:53:37Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-16T01:07:40Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,transition to screen saver,Kindle Special Offers not enabled
2024-04-16T01:30:29Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-22T00:43:23Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T16:51:23Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T01:47:14Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T00:33:16Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T15:06:14Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T22:51:08Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T07:14:28Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-21T20:53:39Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-11T02:13:15Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,exiting lock screen,Kindle Special Offers not enabled
2024-04-13T13:15:01Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-21T23:56:12Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T19:51:22Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-20T17:55:37Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T22:51:45Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-04T03:53:09Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T14:58:55Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T00:42:47Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T15:35:16Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-21T23:18:17Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition to screen saver,Kindle Special Offers not enabled
2024-04-15T00:54:50Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T16:50:04Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-02T01:27:24Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-09T01:10:22Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T15:10:30Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T21:17:30Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-24T04:19:24Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T20:14:58Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-17T00:59:32Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-05T09:34:52Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T23:31:52Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:54:16Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-21T23:29:47Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T02:31:54Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-16T02:07:17Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T20:17:51Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-22T02:05:48Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T02:02:42Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-04-20T21:12:37Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-15T00:45:47Z,www.amazon.com,US,Kindle E-reader,B0778CV9Y4,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T21:23:20Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-05T01:26:51Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T16:51:23Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-22T04:08:29Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:39:28Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T15:13:11Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,transition to screen saver,Kindle Special Offers not enabled
2024-04-11T02:43:03Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T22:46:34Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T23:25:39Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T00:51:37Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T19:21:33Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T02:05:42Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T03:51:40Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T03:08:01Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T21:21:04Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-16T01:08:36Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T16:20:16Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-11T02:13:15Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-16T02:10:53Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T00:54:43Z,www.amazon.com,US,Kindle E-reader,B0CYWDS6CT,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T15:13:49Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-04T03:11:14Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-21T23:43:02Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T15:11:21Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T16:20:13Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-21T23:43:02Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,exiting lock screen,Kindle Special Offers not enabled
2024-04-11T00:53:41Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T15:13:18Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T18:00:51Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-04T23:38:12Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T03:59:04Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-24T02:04:03Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T21:55:29Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-15T00:54:18Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-20T22:04:04Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-13T16:19:05Z,www.amazon.com,US,Kindle E-reader,B0778CV9Y4,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T22:36:56Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T01:48:56Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T00:44:45Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T09:53:11Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T15:13:50Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-21T21:16:51Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-21T23:04:09Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-24T02:04:03Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,exiting lock screen,Kindle Special Offers not enabled
2024-04-04T08:50:25Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,transition to screen saver,Kindle Special Offers not enabled
2024-04-09T00:12:35Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-28T00:21:59Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-09T01:14:57Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-04-02T04:26:01Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,transition to screen saver,Kindle Special Offers not enabled
2024-04-16T02:07:06Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-05T06:33:06Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:52:49Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T21:34:15Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T23:25:39Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T17:55:37Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T02:20:54Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,transition to screen saver,Kindle Special Offers not enabled
2024-04-24T03:14:02Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T23:39:23Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-04-20T17:54:41Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T01:24:50Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-07-18T18:28:26Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T03:08:02Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-15T20:07:26Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T21:51:18Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T15:15:44Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-20T15:28:36Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T22:50:16Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:55:07Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-04-04T03:11:14Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
